,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueprint Name,Best Price,Outer Ring,The Forge,The Citadel,Black Rise,Molden Heath,Heimatar,Metropolis,Tash-Murkon,Devoid,The Bleak Lands,Domain,Kador,Aridia,Kor-Azor,Genesis,Sinq Laison,Everyshore,Solitude,Placid,Essence,Verge Vendor,Derelik,Khanid,Syndicate,Venal,Curse,Lonetrek,Great Wildlands,Stain
Iron Charge L Blueprint,"200,000.00",,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,"200,000.00",,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,,"200,000.00",,,"200,000.00",,
Microwave M Blueprint,"200,000.00",,,,,,,,"200,000.00",,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,,,,,,,,,,,,,
Acolyte I Blueprint,"200,000.00",,,"200,000.00",,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,,"200,000.00",,,"200,000.00",,
100mm Steel Plates I Blueprint,"200,000.00",,"200,000.00",,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,"200,000.00","200,000.00",,"200,000.00",,,,,,,
Magnetometric ECM I Blueprint,"200,000.00",,"200,000.00",,,"200,000.00","200,000.00","200,000.00","200,000.00",,,"200,000.00",,"200,000.00","200,000.00",,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,,,,,,,
Ladar ECM I Blueprint,"200,000.00",,"200,000.00","200,000.00",,,"200,000.00","200,000.00","200,000.00",,,"200,000.00",,,,"200,000.00","200,000.00",,,"200,000.00",,"200,000.00",,,"200,000.00",,,"200,000.00",,
Gravimetric ECM I Blueprint,"200,000.00",,"200,000.00",,,"200,000.00","200,000.00","200,000.00","200,000.00",,,"200,000.00",,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,,"200,000.00",,,"200,000.00",,
Radar ECM I Blueprint,"200,000.00",,"200,000.00","200,000.00",,,,"200,000.00",,,,"200,000.00",,,"200,000.00","200,000.00","200,000.00",,,"200,000.00","200,000.00","200,000.00",,,,,,"200,000.00",,
Pyroxeres Mining Crystal I Blueprint,"200,000.00","200,000.00","200,000.00","200,000.00",,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00",,"200,000.00",,,"200,000.00",,
Acolyte EV-300 Blueprint,"200,000.00",,"200,000.00",,,"200,000.00","200,000.00","200,000.00",,,,"200,000.00","200,000.00","200,000.00",,,,"200,000.00",,,"200,000.00",,,,,,,,,
Acolyte TD-300 Blueprint,"200,000.00",,"200,000.00",,,"200,000.00","200,000.00","200,000.00",,,,"200,000.00","200,000.00","200,000.00",,,,"200,000.00",,,"200,000.00",,,,,,,,,
Small Energy Neutralizer I Blueprint,"199,680.00",,"199,680.00","199,680.00",,"199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00","199,680.00",,,"199,680.00",,,"199,680.00",,
EM Ward Amplifier I Blueprint,"187,420.00",,"187,420.00","187,420.00",,,"187,420.00","187,420.00","187,420.00",,,"187,420.00",,,,"187,420.00","187,420.00",,,"187,420.00",,"187,420.00",,,"187,420.00",,,"187,420.00",,
Explosive Deflection Amplifier I Blueprint,"187,420.00",,"187,420.00","187,420.00",,,"187,420.00","187,420.00","187,420.00",,,"187,420.00",,,,"187,420.00","187,420.00",,,"187,420.00",,"187,420.00",,,"187,420.00",,,"187,420.00",,
Thermal Dissipation Amplifier I Blueprint,"187,420.00",,"187,420.00","187,420.00",,,"187,420.00","187,420.00","187,420.00",,,"187,420.00",,,,"187,420.00","187,420.00",,,"187,420.00",,"187,420.00",,,"187,420.00",,,"187,420.00",,
Kinetic Deflection Amplifier I Blueprint,"187,420.00",,"187,420.00","187,420.00",,,"187,420.00","187,420.00","187,420.00",,,"187,420.00",,,,"187,420.00","187,420.00",,,"187,420.00",,"187,420.00",,,"187,420.00",,,"187,420.00",,
Quad Light Beam Laser I Blueprint,"185,280.00",,,,,,,,"185,280.00","185,280.00","185,280.00","185,280.00","185,280.00","185,280.00","185,280.00","185,280.00",,,,,,,,,,,,,,
Mjolnir Light Missile Blueprint,"180,000.00",,"180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00",,,"180,000.00",,,"180,000.00",,
Mjolnir Auto-Targeting Light Missile I Blueprint,"180,000.00",,"180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00",,"180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00",,,"180,000.00",,,"180,000.00",,
Station Container Blueprint,"180,000.00",,"180,000.00",,,,,"180,000.00","180,000.00",,"180,000.00","180,000.00",,,"180,000.00",,"180,000.00",,,"180,000.00","180,000.00",,,,"180,000.00",,,"180,000.00",,
Small Audit Log Secure Container Blueprint,"180,000.00",,,,,,,"180,000.00",,,,,,,,,,,,,,,,,,,,,,
Lead Charge M Blueprint,"175,000.00",,"175,000.00","175,000.00","175,000.00","175,000.00","175,000.00","175,000.00","175,000.00","175,000.00",,"175,000.00","175,000.00",,"175,000.00","175,000.00","175,000.00","175,000.00","175,000.00","175,000.00","175,000.00","175,000.00",,,"175,000.00",,,"175,000.00",,
Proton M Blueprint,"165,000.00",,"165,000.00","165,000.00",,"165,000.00","165,000.00","165,000.00","165,000.00",,,"165,000.00","165,000.00",,"165,000.00","165,000.00","165,000.00",,,"165,000.00","165,000.00","165,000.00",,,,,,"165,000.00",,
Inferno Light Missile Blueprint,"160,000.00",,"160,000.00","160,000.00","160,000.00",,"160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00",,,"160,000.00",,,"160,000.00",,
Inferno Auto-Targeting Light Missile I Blueprint,"160,000.00",,"160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00",,"160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00",,,"160,000.00",,,"160,000.00",,
Scourge Light Missile Blueprint,"150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,,"150,000.00",,,"150,000.00",,
280mm Howitzer Artillery I Blueprint,"150,000.00",,,,,"150,000.00","150,000.00","150,000.00",,,,,,,,,,,,,,,,,,,,,,
Small Focused Beam Laser I Blueprint,"150,000.00",,,,,,,,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,,,,,,,,,,,,,
150mm Railgun I Blueprint,"150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,"150,000.00",,"150,000.00","150,000.00","150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,,,,,,"150,000.00",,
Iridium Charge M Blueprint,"150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,"150,000.00",,,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,,"150,000.00",,,"150,000.00",,
Ultraviolet M Blueprint,"150,000.00",,,,,,,,"150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,,,,,,,,,,,,,
Scourge Auto-Targeting Light Missile I Blueprint,"150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,,,,,"150,000.00",,
Scordite Mining Crystal I Blueprint,"150,000.00","150,000.00","150,000.00","150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,"150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00","150,000.00",,"150,000.00",,,"150,000.00",,
Co-Processor I Blueprint,"149,960.00",,"149,960.00","149,960.00",,,,"149,960.00","149,960.00","149,960.00","149,960.00","149,960.00","149,960.00",,"149,960.00","149,960.00","149,960.00","149,960.00","149,960.00","149,960.00","149,960.00","149,960.00",,,,,,"149,960.00",,
Tracking Enhancer I Blueprint,"144,000.00",,"144,000.00","144,000.00",,,,"144,000.00",,,,,,,,,,,,,,,,,,,,"144,000.00",,
Omnidirectional Tracking Enhancer I Blueprint,"144,000.00",,"144,000.00",,,"144,000.00","144,000.00","144,000.00",,,,"144,000.00","144,000.00","144,000.00",,,,"144,000.00",,,"144,000.00",,,,,,,,,
Missile Guidance Enhancer I Blueprint,"144,000.00",,"144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00","144,000.00",,,"144,000.00","144,000.00",,,,"144,000.00",,,"144,000.00",,
Nova Light Missile Blueprint,"140,000.00",,"140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00",,"140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00",,,"140,000.00",,,"140,000.00",,
Nova Auto-Targeting Light Missile I Blueprint,"140,000.00",,"140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00",,,"140,000.00",,,"140,000.00",,
Small Remote Capacitor Transmitter I Blueprint,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00",,,"125,000.00",,
Standard M Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00",,,"125,000.00",,,,,,,
Reinforced Bulkheads I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,"125,000.00",,
Small Processor Overclocking Unit I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,"125,000.00",,
Small Remote Repair Augmentor I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Trimark Armor Pump I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Anti-EM Pump I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Anti-Explosive Pump I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Anti-Kinetic Pump I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Anti-Thermal Pump I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Auxiliary Nano Pump I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Nanobot Accelerator I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Salvage Tackle I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Auxiliary Thrusters I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Cargohold Optimization I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Dynamic Fuel Valve I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Engine Thermal Shielding I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Low Friction Nozzle Joints I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Hyperspatial Velocity Optimizer I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Polycarbon Engine Housing I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Warp Core Optimizer I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Emission Scope Sharpener I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Gravity Capacitor Upgrade I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Liquid Cooled Electronics I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Memetic Algorithm Bank I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Signal Disruption Amplifier I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Inverted Signal Field Projector I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Ionic Field Projector I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Particle Dispersion Augmentor I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Particle Dispersion Projector I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Signal Focusing Kit I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Targeting System Subcontroller I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Targeting Systems Stabilizer I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Tracking Diagnostic Subroutines I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Ancillary Current Router I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Capacitor Control Circuit I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Egress Port Maximizer I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Powergrid Subroutine Maximizer I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Semiconductor Memory Cell I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",
Small Algid Energy Administrations Unit I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Energy Ambit Extension I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Energy Burst Aerator I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Energy Collision Accelerator I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Energy Discharge Elutriation I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Energy Locus Coordinator I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Energy Metastasis Adjuster I Blueprint,"125,000.00",,,,,,,,"125,000.00",,"125,000.00","125,000.00","125,000.00",,,"125,000.00",,,,,,,,"125,000.00",,,,,,
Small Algid Hybrid Administrations Unit I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Hybrid Ambit Extension I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Hybrid Burst Aerator I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Hybrid Collision Accelerator I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Hybrid Discharge Elutriation I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Hybrid Locus Coordinator I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Hybrid Metastasis Adjuster I Blueprint,"125,000.00",,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,,,,,,
Small Bay Loading Accelerator I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00",,
Small Hydraulic Bay Thrusters I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00",,
Small Rocket Fuel Cache Partition I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00",,
Small Warhead Calefaction Catalyst I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00",,
Small Warhead Flare Catalyst I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00",,
Small Warhead Rigor Catalyst I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00",,
Small Projectile Ambit Extension I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Projectile Burst Aerator I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Projectile Collision Accelerator I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Projectile Locus Coordinator I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Projectile Metastasis Adjuster I Blueprint,"125,000.00",,"125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00","125,000.00","125,000.00",,"125,000.00",,,"125,000.00","125,000.00",
Small Anti-EM Screen Reinforcer I Blueprint,"125,000.00",,"125,000.00","125,000.00","125,000.00",,"125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00","125,000.00",,,"125,000.00","125,000.00",,,,"125,000.00",,,"125,000.00",,
